time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-18 00:00:00+00:00,0,0,2,1
2024-07-22 00:00:00+00:00,0,0,2,1
2024-07-23 00:00:00+00:00,0,0,4,3
2024-07-24 00:00:00+00:00,0,0,5,2
2024-07-30 00:00:00+00:00,0,0,5,4
2024-07-31 00:00:00+00:00,0,0,3,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-02 00:00:00+00:00,0,0,2,1
2024-08-05 00:00:00+00:00,0,0,19,2
2024-08-06 00:00:00+00:00,0,0,3,1
2024-08-16 00:00:00+00:00,0,0,1,1
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-22 00:00:00+00:00,0,0,1,1
2024-08-30 00:00:00+00:00,0,0,14,1
2024-09-02 00:00:00+00:00,1,1,0,0
2024-09-03 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,0,0,1,1
2024-09-05 00:00:00+00:00,3,3,0,0
2024-09-06 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,0,0,1,1
2024-09-12 00:00:00+00:00,1,1,3,3
2024-09-13 00:00:00+00:00,1,1,1,1
2024-09-27 00:00:00+00:00,0,0,1,1
2024-09-28 00:00:00+00:00,0,0,4,3
2024-09-29 00:00:00+00:00,0,0,21,1
2024-10-02 00:00:00+00:00,0,0,1,1
2024-10-03 00:00:00+00:00,0,0,1,1
2024-10-06 00:00:00+00:00,0,0,4,1
2024-10-08 00:00:00+00:00,0,0,18,2
2024-10-09 00:00:00+00:00,0,0,2,2
2024-10-10 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,7,1
2024-10-15 00:00:00+00:00,0,0,2,1
2024-10-17 00:00:00+00:00,1,1,0,0
2024-10-18 00:00:00+00:00,1,1,0,0
2024-10-25 00:00:00+00:00,0,0,1,1
2024-10-30 00:00:00+00:00,0,0,2,1
2024-10-31 00:00:00+00:00,0,0,2,2
2024-11-05 00:00:00+00:00,0,0,1,1
2024-11-17 00:00:00+00:00,0,0,2,1
2024-11-23 00:00:00+00:00,0,0,1,1
2024-11-24 00:00:00+00:00,1,1,1,1
2024-11-28 00:00:00+00:00,0,0,17,2
2024-12-01 00:00:00+00:00,0,0,3,1
2024-12-05 00:00:00+00:00,0,0,10,1
2024-12-15 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,0,0,1,1
2024-12-19 00:00:00+00:00,0,0,3,2
2024-12-27 00:00:00+00:00,0,0,1,1
2024-12-29 00:00:00+00:00,0,0,5,3
2024-12-30 00:00:00+00:00,0,0,10,2
2025-01-02 00:00:00+00:00,0,0,1,1
2025-01-09 00:00:00+00:00,0,0,2,2
2025-01-10 00:00:00+00:00,0,0,1,1
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,1,1,0,0
2025-01-20 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,0,0,2,1
2025-01-24 00:00:00+00:00,0,0,1,1
2025-01-25 00:00:00+00:00,1,1,0,0
2025-01-26 00:00:00+00:00,1,1,1,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,0,0,2,2
2025-02-05 00:00:00+00:00,0,0,1,1
2025-02-10 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,1,1,0,0
