time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-02 00:00:00+00:00,0,0,5,1
2023-04-03 00:00:00+00:00,1,1,3,2
2023-04-04 00:00:00+00:00,0,0,4,2
2023-04-05 00:00:00+00:00,0,0,5,2
2023-04-06 00:00:00+00:00,9,8,23,7
2023-04-07 00:00:00+00:00,1,1,13,2
2023-04-08 00:00:00+00:00,0,0,4,1
2023-04-10 00:00:00+00:00,0,0,4,2
2023-04-11 00:00:00+00:00,1,1,4,1
2023-04-12 00:00:00+00:00,0,0,3,3
2023-04-13 00:00:00+00:00,2,2,15,6
2023-04-14 00:00:00+00:00,0,0,2,2
2023-04-15 00:00:00+00:00,0,0,1,1
2023-04-16 00:00:00+00:00,0,0,6,1
2023-04-17 00:00:00+00:00,0,0,1,1
2023-04-18 00:00:00+00:00,0,0,27,5
2023-04-19 00:00:00+00:00,0,0,4,4
2023-04-20 00:00:00+00:00,1,1,8,4
2023-04-21 00:00:00+00:00,0,0,7,3
2023-04-24 00:00:00+00:00,0,0,2,2
2023-04-25 00:00:00+00:00,0,0,3,1
2023-04-26 00:00:00+00:00,0,0,3,3
2023-04-27 00:00:00+00:00,0,0,2,2
2023-04-28 00:00:00+00:00,0,0,3,2
2023-05-01 00:00:00+00:00,0,0,2,1
2023-05-02 00:00:00+00:00,0,0,9,1
2023-05-03 00:00:00+00:00,0,0,8,2
2023-05-05 00:00:00+00:00,0,0,10,3
2023-05-07 00:00:00+00:00,0,0,5,1
2023-05-09 00:00:00+00:00,0,0,1,1
2023-05-10 00:00:00+00:00,1,1,4,1
2023-05-11 00:00:00+00:00,0,0,18,3
2023-05-12 00:00:00+00:00,0,0,1,1
2023-05-13 00:00:00+00:00,0,0,2,1
2023-05-14 00:00:00+00:00,0,0,1,1
2023-05-15 00:00:00+00:00,0,0,34,3
2023-05-16 00:00:00+00:00,0,0,69,4
2023-05-17 00:00:00+00:00,0,0,10,3
2023-05-18 00:00:00+00:00,0,0,4,1
2023-05-22 00:00:00+00:00,1,1,8,3
2023-05-23 00:00:00+00:00,0,0,16,4
2023-05-24 00:00:00+00:00,0,0,8,2
2023-05-25 00:00:00+00:00,2,1,7,3
2023-05-26 00:00:00+00:00,0,0,4,2
2023-05-28 00:00:00+00:00,0,0,1,1
2023-05-29 00:00:00+00:00,1,1,5,3
2023-05-30 00:00:00+00:00,0,0,1,1
2023-05-31 00:00:00+00:00,0,0,52,15
2023-06-01 00:00:00+00:00,4,3,331,67
2023-06-02 00:00:00+00:00,7,5,319,67
2023-06-03 00:00:00+00:00,1,1,267,39
2023-06-04 00:00:00+00:00,0,0,57,21
2023-06-05 00:00:00+00:00,5,4,176,41
2023-06-06 00:00:00+00:00,3,3,264,46
2023-06-07 00:00:00+00:00,3,2,101,27
2023-06-08 00:00:00+00:00,1,1,191,38
2023-06-09 00:00:00+00:00,0,0,111,28
2023-06-10 00:00:00+00:00,0,0,86,14
2023-06-11 00:00:00+00:00,0,0,125,16
2023-06-12 00:00:00+00:00,0,0,139,32
2023-06-13 00:00:00+00:00,5,5,318,42
2023-06-14 00:00:00+00:00,0,0,160,41
2023-06-15 00:00:00+00:00,0,0,65,27
2023-06-16 00:00:00+00:00,1,1,212,28
2023-06-17 00:00:00+00:00,1,1,83,12
2023-06-18 00:00:00+00:00,3,1,16,7
