time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-25 00:00:00+00:00,0,0,2,1
2024-07-30 00:00:00+00:00,0,0,2,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-11 00:00:00+00:00,0,0,18,1
2024-08-14 00:00:00+00:00,0,0,2,1
2024-08-15 00:00:00+00:00,1,1,0,0
2024-08-20 00:00:00+00:00,0,0,1,1
2024-08-21 00:00:00+00:00,0,0,10,1
2024-08-22 00:00:00+00:00,0,0,14,1
2024-08-23 00:00:00+00:00,1,1,0,0
2024-08-26 00:00:00+00:00,0,0,1,1
2024-08-29 00:00:00+00:00,0,0,33,3
2024-09-01 00:00:00+00:00,1,1,0,0
2024-09-05 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,0,0,2,1
2024-09-11 00:00:00+00:00,2,2,2,1
2024-09-19 00:00:00+00:00,1,1,0,0
2024-09-23 00:00:00+00:00,0,0,15,2
2024-09-26 00:00:00+00:00,1,1,4,1
2024-09-30 00:00:00+00:00,0,0,14,2
2024-10-01 00:00:00+00:00,0,0,24,2
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-14 00:00:00+00:00,0,0,6,3
2024-10-17 00:00:00+00:00,0,0,1,1
2024-10-19 00:00:00+00:00,1,1,0,0
2024-10-21 00:00:00+00:00,0,0,2,2
2024-10-22 00:00:00+00:00,0,0,1,1
2024-10-25 00:00:00+00:00,1,1,1,1
2024-11-01 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,1,1,1,1
2024-11-08 00:00:00+00:00,0,0,1,1
2024-11-13 00:00:00+00:00,0,0,9,1
2024-11-24 00:00:00+00:00,0,0,1,1
2024-11-25 00:00:00+00:00,0,0,12,2
2024-11-26 00:00:00+00:00,0,0,23,2
2024-12-04 00:00:00+00:00,0,0,1,1
2024-12-06 00:00:00+00:00,0,0,4,1
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-16 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,8,3
2024-12-19 00:00:00+00:00,0,0,1,1
2024-12-24 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,0,0,13,1
2025-01-10 00:00:00+00:00,0,0,1,1
2025-01-12 00:00:00+00:00,1,1,0,0
2025-01-13 00:00:00+00:00,0,0,1,1
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-16 00:00:00+00:00,0,0,1,1
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-26 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,0,0,2,1
2025-01-28 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,1,1,1,1
2025-02-06 00:00:00+00:00,0,0,3,1
2025-02-11 00:00:00+00:00,0,0,1,1
2025-02-13 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,0,0,1,1
2025-02-19 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,0,0,22,1
2025-02-25 00:00:00+00:00,0,0,3,2
2025-02-28 00:00:00+00:00,0,0,2,1
2025-03-01 00:00:00+00:00,0,0,3,1
2025-03-03 00:00:00+00:00,0,0,1,1
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,0,0,2,1
2025-03-12 00:00:00+00:00,0,0,12,1
2025-03-14 00:00:00+00:00,0,0,12,1
2025-03-17 00:00:00+00:00,0,0,8,1
2025-03-18 00:00:00+00:00,1,1,15,3
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-24 00:00:00+00:00,0,0,1,1
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-28 00:00:00+00:00,0,0,15,1
2025-03-31 00:00:00+00:00,0,0,1,1
2025-04-01 00:00:00+00:00,0,0,1,1
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-06 00:00:00+00:00,0,0,1,1
2025-04-07 00:00:00+00:00,0,0,15,2
2025-04-08 00:00:00+00:00,0,0,1,1
2025-04-10 00:00:00+00:00,1,1,0,0
2025-04-11 00:00:00+00:00,2,2,1,1
2025-04-12 00:00:00+00:00,2,2,0,0
2025-04-15 00:00:00+00:00,0,0,1,1
2025-04-21 00:00:00+00:00,1,1,0,0
2025-04-24 00:00:00+00:00,2,2,0,0
2025-05-01 00:00:00+00:00,2,2,0,0
2025-05-02 00:00:00+00:00,1,1,1,1
2025-05-03 00:00:00+00:00,1,1,1,1
2025-05-05 00:00:00+00:00,0,0,7,1
2025-05-08 00:00:00+00:00,0,0,7,1
2025-05-11 00:00:00+00:00,1,1,1,1
2025-05-19 00:00:00+00:00,6,3,14,1
2025-06-06 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,0,0,1,1
2025-06-12 00:00:00+00:00,1,1,0,0
2025-06-17 00:00:00+00:00,1,1,3,2
2025-06-18 00:00:00+00:00,2,2,0,0
2025-06-20 00:00:00+00:00,1,1,1,1
2025-06-25 00:00:00+00:00,0,0,1,1
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,0,0,1,1
2025-07-06 00:00:00+00:00,0,0,1,1
2025-07-11 00:00:00+00:00,0,0,1,1
2025-07-15 00:00:00+00:00,0,0,1,1
2025-07-16 00:00:00+00:00,0,0,40,1
2025-07-18 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,2,2,1,1
2025-07-26 00:00:00+00:00,21,13,0,0
2025-07-27 00:00:00+00:00,1,1,0,0
2025-07-28 00:00:00+00:00,0,0,25,1
2025-07-30 00:00:00+00:00,0,0,1,1
2025-07-31 00:00:00+00:00,0,0,27,1
2025-08-01 00:00:00+00:00,0,0,3,2
2025-08-04 00:00:00+00:00,0,0,1,1
2025-08-13 00:00:00+00:00,1,1,1,1
2025-08-19 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,1,1,1,1
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,0,0,10,2
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,1,1,0,0
2025-09-03 00:00:00+00:00,2,2,1,1
2025-09-05 00:00:00+00:00,1,1,7,1
2025-09-09 00:00:00+00:00,1,1,0,0
2025-09-12 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,1,1,0,0
2025-09-15 00:00:00+00:00,0,0,1,1
2025-09-17 00:00:00+00:00,0,0,13,1
2025-09-18 00:00:00+00:00,2,2,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-22 00:00:00+00:00,1,1,1,1
2025-09-24 00:00:00+00:00,2,2,0,0
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,0,0,1,1
2025-10-07 00:00:00+00:00,1,1,1,1
2025-10-09 00:00:00+00:00,0,0,1,1
2025-10-10 00:00:00+00:00,0,0,1,1
2025-10-14 00:00:00+00:00,0,0,1,1
2025-10-15 00:00:00+00:00,0,0,1,1
2025-10-16 00:00:00+00:00,1,1,0,0
2025-10-17 00:00:00+00:00,1,1,0,0
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,0,0,13,1
2025-10-22 00:00:00+00:00,0,0,8,2
2025-10-23 00:00:00+00:00,0,0,12,2
2025-10-24 00:00:00+00:00,2,2,1,1
2025-10-26 00:00:00+00:00,1,1,1,1
2025-10-27 00:00:00+00:00,1,1,1,1
2025-10-30 00:00:00+00:00,0,0,4,3
2025-10-31 00:00:00+00:00,1,1,2,2
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-04 00:00:00+00:00,0,0,8,2
2025-11-05 00:00:00+00:00,0,0,5,2
2025-11-06 00:00:00+00:00,0,0,1,1
2025-11-07 00:00:00+00:00,0,0,2,1
2025-11-08 00:00:00+00:00,0,0,2,1
2025-11-10 00:00:00+00:00,1,1,1,1
2025-11-12 00:00:00+00:00,0,0,1,1
2025-11-14 00:00:00+00:00,0,0,1,1
2025-11-16 00:00:00+00:00,0,0,1,1
2025-11-17 00:00:00+00:00,1,1,2,2
2025-11-18 00:00:00+00:00,0,0,1,1
2025-11-20 00:00:00+00:00,0,0,1,1
2025-11-21 00:00:00+00:00,0,0,4,4
2025-11-22 00:00:00+00:00,0,0,2,1
2025-11-23 00:00:00+00:00,0,0,1,1
2025-11-24 00:00:00+00:00,1,1,0,0
2025-11-25 00:00:00+00:00,1,1,1,1
2025-11-26 00:00:00+00:00,0,0,37,2
2025-11-28 00:00:00+00:00,1,1,0,0
2025-11-29 00:00:00+00:00,0,0,1,1
2025-11-30 00:00:00+00:00,1,1,1,1
2025-12-01 00:00:00+00:00,1,1,2,1
2025-12-02 00:00:00+00:00,1,1,2,1
2025-12-04 00:00:00+00:00,2,2,2,2
2025-12-08 00:00:00+00:00,1,1,0,0
2025-12-09 00:00:00+00:00,3,3,1,1
2025-12-10 00:00:00+00:00,0,0,0,0
2025-12-11 00:00:00+00:00,0,0,1,1
2025-12-12 00:00:00+00:00,0,0,0,0
