time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-19 00:00:00+00:00,0,0,32,1
2024-07-23 00:00:00+00:00,0,0,1,1
2024-07-30 00:00:00+00:00,0,0,32,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-15 00:00:00+00:00,0,0,6,1
2024-08-21 00:00:00+00:00,1,1,0,0
2024-08-29 00:00:00+00:00,1,1,0,0
2024-08-31 00:00:00+00:00,0,0,1,1
2024-09-04 00:00:00+00:00,1,1,0,0
2024-10-02 00:00:00+00:00,1,1,0,0
2024-10-10 00:00:00+00:00,1,1,0,0
2024-10-11 00:00:00+00:00,1,1,0,0
2024-10-15 00:00:00+00:00,1,1,0,0
2024-10-16 00:00:00+00:00,0,0,1,1
2024-10-23 00:00:00+00:00,1,1,0,0
2024-11-03 00:00:00+00:00,1,1,0,0
2024-11-13 00:00:00+00:00,1,1,0,0
2024-11-18 00:00:00+00:00,1,1,0,0
2024-11-29 00:00:00+00:00,0,0,3,1
2024-12-07 00:00:00+00:00,1,1,0,0
2024-12-17 00:00:00+00:00,0,0,1,1
2024-12-18 00:00:00+00:00,0,0,2,2
2025-01-29 00:00:00+00:00,0,0,4,1
2025-02-01 00:00:00+00:00,5,3,0,0
2025-02-02 00:00:00+00:00,2,2,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,0,0
2025-02-06 00:00:00+00:00,1,1,0,0
2025-02-07 00:00:00+00:00,2,1,0,0
2025-02-08 00:00:00+00:00,2,2,0,0
