time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-30 00:00:00+00:00,0,0,1,1
2024-08-01 00:00:00+00:00,0,0,1,1
2024-08-05 00:00:00+00:00,0,0,4,2
2024-08-06 00:00:00+00:00,0,0,1,1
2024-08-08 00:00:00+00:00,0,0,1,1
2024-08-13 00:00:00+00:00,0,0,1,1
2024-08-31 00:00:00+00:00,1,1,0,0
2024-09-09 00:00:00+00:00,0,0,4,2
2024-09-10 00:00:00+00:00,0,0,1,1
2024-09-11 00:00:00+00:00,1,1,0,0
2024-09-17 00:00:00+00:00,0,0,1,1
2024-09-22 00:00:00+00:00,1,1,0,0
2024-10-07 00:00:00+00:00,0,0,1,1
2024-10-11 00:00:00+00:00,0,0,1,1
2024-10-15 00:00:00+00:00,0,0,1,1
2024-10-21 00:00:00+00:00,0,0,1,1
2024-11-04 00:00:00+00:00,0,0,1,1
2024-11-11 00:00:00+00:00,0,0,8,1
2024-11-13 00:00:00+00:00,0,0,13,1
2024-11-14 00:00:00+00:00,0,0,1,1
2024-11-20 00:00:00+00:00,0,0,1,1
2024-11-26 00:00:00+00:00,0,0,2,1
2024-12-16 00:00:00+00:00,0,0,7,2
2024-12-17 00:00:00+00:00,0,0,12,1
2025-01-13 00:00:00+00:00,1,1,0,0
2025-01-14 00:00:00+00:00,0,0,1,1
2025-01-15 00:00:00+00:00,1,1,0,0
2025-01-22 00:00:00+00:00,0,0,1,1
2025-01-23 00:00:00+00:00,0,0,1,1
2025-01-26 00:00:00+00:00,1,1,0,0
2025-01-27 00:00:00+00:00,0,0,1,1
2025-02-05 00:00:00+00:00,0,0,2,2
2025-02-13 00:00:00+00:00,0,0,1,1
2025-02-22 00:00:00+00:00,1,1,0,0
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,0,0,1,1
2025-03-12 00:00:00+00:00,0,0,4,1
2025-03-14 00:00:00+00:00,1,1,0,0
2025-03-18 00:00:00+00:00,1,1,1,1
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,0,0,1,1
2025-03-24 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-04-01 00:00:00+00:00,0,0,1,1
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-09 00:00:00+00:00,0,0,1,1
2025-04-11 00:00:00+00:00,1,1,0,0
2025-04-12 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
2025-05-03 00:00:00+00:00,1,1,0,0
2025-05-11 00:00:00+00:00,1,1,0,0
2025-05-19 00:00:00+00:00,2,1,0,0
2025-06-04 00:00:00+00:00,1,1,0,0
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-17 00:00:00+00:00,0,0,1,1
2025-06-18 00:00:00+00:00,2,2,0,0
2025-06-25 00:00:00+00:00,0,0,1,1
2025-07-02 00:00:00+00:00,0,0,1,1
2025-07-06 00:00:00+00:00,2,2,0,0
2025-07-16 00:00:00+00:00,0,0,7,1
2025-07-17 00:00:00+00:00,0,0,4,2
2025-07-18 00:00:00+00:00,0,0,3,1
2025-07-22 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,1,1,0,0
2025-07-24 00:00:00+00:00,0,0,1,1
2025-07-25 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,11,10,0,0
2025-07-28 00:00:00+00:00,0,0,8,1
2025-07-30 00:00:00+00:00,0,0,1,1
2025-07-31 00:00:00+00:00,0,0,3,1
2025-08-08 00:00:00+00:00,0,0,1,1
2025-08-10 00:00:00+00:00,1,1,0,0
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,3,3,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,1,1,0,0
2025-09-14 00:00:00+00:00,2,2,0,0
2025-09-17 00:00:00+00:00,1,1,0,0
2025-09-18 00:00:00+00:00,2,2,0,0
2025-09-20 00:00:00+00:00,1,1,0,0
2025-09-23 00:00:00+00:00,0,0,1,1
2025-09-24 00:00:00+00:00,1,1,0,0
2025-09-25 00:00:00+00:00,1,1,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-10-07 00:00:00+00:00,1,1,0,0
2025-10-09 00:00:00+00:00,0,0,6,1
2025-10-14 00:00:00+00:00,0,0,3,1
2025-10-18 00:00:00+00:00,1,1,0,0
2025-10-19 00:00:00+00:00,4,1,0,0
2025-10-20 00:00:00+00:00,2,1,0,0
2025-10-27 00:00:00+00:00,2,2,0,0
2025-11-01 00:00:00+00:00,2,2,0,0
2025-11-02 00:00:00+00:00,0,0,1,1
2025-11-03 00:00:00+00:00,1,1,0,0
2025-11-07 00:00:00+00:00,1,1,0,0
2025-11-10 00:00:00+00:00,1,1,0,0
2025-11-17 00:00:00+00:00,1,1,0,0
2025-11-20 00:00:00+00:00,0,0,3,1
2025-11-21 00:00:00+00:00,0,0,3,2
